"municipio","valor","unidade","rotas_descritas","evidencia","confianca","erro"
"Nova Bréscia","vermelho","semáforo (verde/vermelho)","N/A","As seções do documento listam 'ÁREA DE ESPERA: Ginásio Municipal de Esportes, Rua Osório, 295, Bairro Centro' e 'ACAMPAMENTO: Clube Tiradentes, Avenida Bento Gonçalves, 1340' além de 'LISTA DE ABRIGOS' com endereços, mas não descrevem trajeto de evacuação específico por ruas nomeadas ligando área de risco a ponto de encontro; há menção genérica a 'Retirada das famílias' e 'principais ações' sem indicação de ruas a serem seguidas","alta",""
"Nova Esperança do Sul","vermelho","semáforo (verde/vermelho)","N/A","Página 'Lista De Abrigos' mostra identificação e endereços de abrigos (ex.: 'Ginásio Municipal — Rua Voluntários da Pátria, Centro, Nova Esperança do Sul/RS') mas não descreve trajetos de evacuação com ruas nomeadas ligando área de risco a ponto de encontro.","alta",""
"Nova Hartz","vermelho","semáforo (verde/vermelho)","N/A","Não há descrição de trajeto de evacuação com ruas nomeadas; o documento apresenta ""LISTA DE ABRIGOS"" com endereços e instruções gerais como ""Treinamento com alunos e professores, nas redes de ensino, para uma possível evasão"" e ""Preparação dos abrigos."" [ref_id:3]","alta",""
"Nova Palma","vermelho","semáforo (verde/vermelho)","N/A","Não há no documento trechos que descrevam trajetos de evacuação com ruas/vias nomeadas ligando área de risco a ponto de encontro; existem apenas mapas do perímetro urbano, lista de abrigos com endereços e instruções genéricas de evacuação/isolamento a serem executadas (ex.: ""evacuar pessoas das áreas de risco"" e ""organizar abrigos provisórios""), sem indicar ruas/trechos específicos.","alta",""
"Nova Santa Rita","vermelho","semáforo (verde/vermelho)","N/A","Evacuação: ... será acionada pelo prefeito ou COMDEC coordenador e utilizará principais ruas/avenidas determinadas pela magnitude do evento, com rotas de saída e entrada para equipes de resgate.","alta",""
"Novo Cabrais","vermelho","semáforo (verde/vermelho)","N/A","Não há descrição de trajeto de evacuação específico com ruas nomeadas ligando área de risco a ponto de encontro; o documento traz lista de abrigos com endereços (ex.: ""Centro de Eventos - Avenida 28 de Dezembro"") e instruções genéricas como 'montar pontos de controle de trânsito' e 'pelas vias principais' não especificadas","alta",""
"Novo Hamburgo","vermelho","semáforo (verde/vermelho)","N/A","""Rotas de fuga: Será sempre realizada para pontos de abrigos e/ou casas de familiares que se localizem a uma distância longe da área do evento, sempre de forma ordenada, evitando altas velocidades."" [ref_id:0] ""As Áreas de Evacuação serão planejadas de acordo com a magnitude e evolução do evento, sempre que houver a necessidade de evacuação de urgência."" [ref_id:2]","alta",""
"Não-Me-Toque","vermelho","semáforo (verde/vermelho)","N/A","Não há descrição de trajetos de evacuação por ruas nomeadas; o documento lista abrigos com endereços (ex.: ""Endereço: Rua Luiz Fernando Roos, s/n"") e indica ""Realizar a remoção de pessoas das áreas de risco"" sem detalhar ruas/itinerários específicos.","alta",""
"Paim Filho","vermelho","semáforo (verde/vermelho)","N/A","LISTA DE ABRIGOS Identificação: Ginásio Municipal Endereço: Rua João Lacerda, S/N – Centro Elaborar planejamento e modificações, tais como rotas, sinalização, etc. em locais vulneráveis ou em evolução. MAPA DO MUNICÍPIO DE PAIM FILHO","alta",""
"Pantano Grande","vermelho","semáforo (verde/vermelho)","N/A","Não há menção a trajetos de evacuação com ruas nomeadas; o documento contém seções gerais (objetivos do plano, quem aciona, quando deve ser desencadeado) e informações municipais, sem descrever rotas específicas ou mapas de evacuação.","alta",""
"Paraíso do Sul","vermelho","semáforo (verde/vermelho)","N/A","Documento contém seção sobre Áreas de Risco listando ruas (ex.: ""RUA FRANCISCO FICK""; ""VILA NOVA"") e um anexo com mapas do município, além de uma ""Lista de Abrigos"" com endereço do Ginásio Poliesportivo (Rua G), mas não descreve trajetos de evacuação específicos ligando área de risco a ponto de encontro por ruas nomeadas nem mapas de rotas com instruções de percurso.","alta",""
"Pareci Novo","vermelho","semáforo (verde/vermelho)","N/A","Lista De Abrigos: Ginásio Municipal, Endereço: Rua Alonso Remi Dietrich, 30 - Centro (capacidade 700 pessoas). Não há trechos que descrevam trajeto de evacuação com ruas/vias nomeadas ligando área de risco a ponto de encontro; referências a remoção e isolamento são genéricas nas áreas de risco e ações (remoção de pessoas, isolamento de áreas, organizar abrigos) sem indicar ruas ou rotas específicas.","alta",""
"Parobé","vermelho","semáforo (verde/vermelho)","N/A","Áreas de Risco do Município: Local Risco Observações Bairro Paraiso, XV de Junho, Mariana, Solar Enchente Cheia Rio Paranhana Santa Cristina do Pinhal Enchente Cheia Rio dos Sinos Areia Branca Enchente Cheia Arroio Funil Bela Vista / Muck Risco Geotécnico Movimento de massa Alexandria, Vila Jardim Enchente Cheia Arroio Funil","alta",""
"Passa Sete","vermelho","semáforo (verde/vermelho)","N/A","A documentação do Plano de Contingência apresenta lista de áreas de risco, ações a serem desenvolvidas, resumo de recursos e contatos (ex.: ""Baixo Passa Sete, Costa do Rio, Lageado Sobradinho, Posse do Caçador"" e inventário de recursos), mas não descreve trajetos de evacuação com ruas nomeadas ligando áreas de risco a pontos de encontro nem mapa de rotas especificado.","alta",""
"Passo Fundo","vermelho","semáforo (verde/vermelho)","N/A","A evacuação será realizada para pontos de abrigos e/ou casas de familiares que se localizem a uma distância segura da área do evento, sempre de forma ordenada.","alta",""
"Passo do Sobrado","vermelho","semáforo (verde/vermelho)","N/A","Não há descrição de trajeto de evacuação com ruas nomeadas; o documento lista 'Áreas de Risco: Toda a área do município' e contém 'Lista De Abrigos' e instruções gerais de ações (ex.: '5.1 Acionamento do Plano de Contingência; 5.2 Verificar danos humanitários; 5.3 Verificar danos em estradas, rodovias, pontes; 5.4 Prestar assistência às vítimas').","alta",""
"Paverama","vermelho","semáforo (verde/vermelho)","N/A","5.3 - Evacuação; assistência às vítimas com cadastramento via Secretaria Municipal da Assistência Social e alojamento em abrigos e casas de parentes.[ref_id:3]","alta",""
"Pedras Altas","vermelho","semáforo (verde/vermelho)","N/A","Não há descrição de trajeto de evacuação com ruas/vias nomeadas ligando área de risco a ponto de encontro; o documento apresenta apenas locais de abrigos com endereços (ex.: ""Abrigo I Identificação: Gupa ginagio municipal Endereço: av viconde maua"") e instruções genéricas sobre evacuação/coordenação (ex.: ""identificará uma área de fácil acesso, nas proximidades da região afetada para implantar a Central de Emergência"")","alta",""
"Pedro Osório","vermelho","semáforo (verde/vermelho)","N/A","O documento lista ações como 'Remoção dos moradores em área de risco' e 'Organização dos abrigos', e identifica áreas de risco (ex.: 'Rio Piratini — Inundações'), mas não descreve trajetos nominais de evacuação ligando áreas de risco a pontos de encontro por ruas/vias nomeadas.","alta",""
"Pelotas","vermelho","semáforo (verde/vermelho)","N/A","documento lista responsabilidades, abrigos, contatos e mapas de áreas de risco, mas não descreve trajetos de evacuação com ruas nomeadas nem mapas de rotas detalhados (ex.: ""Fluxo de atendimento""; lista de setores de risco; lista de abrigos e responsabilidades)","alta",""
"Pinhal Grande","vermelho","semáforo (verde/vermelho)","N/A","A seção ""Lista De Abrigos"" fornece nomes e endereços de abrigos (ex.: ""Ginásio de Esportes Municipal — Av. Integração 25 99"") e o documento indica que o município ""Não possui áreas de risco""; não há descrição de trajetos de evacuação com ruas/vias nomeadas ligando áreas de risco a ponto de encontro nem mapa de rotas especificado no plano recuperado.","alta",""
"Pinheiro Machado","vermelho","semáforo (verde/vermelho)","N/A","Lista De Abrigos fornece endereços de abrigos (ex.: ""Ginásio Municipal - Endereço: Nico de Oliveira, s/n"") e seção 5 indica ações genéricas (ex.: ""5.3 Locomoção imediata ao local do sinistro"", ""5.5 Definição de ações específicas frente à realidade do fato"") — não há descrição de trajeto de evacuação com ruas nomeadas ligando área de risco a ponto de encontro.","alta",""
"Piratini","vermelho","semáforo (verde/vermelho)","N/A","Lista de abrigos com endereços (ex.: ""Ginásio Municipal de Esportes, Prolongamento Rua Osvaldo Aranha""; ""Escola Municipal Alaôr Tarouco, Endereço: Passo do Bêbado"") e menção genérica a ""Áreas de Risco do Município"" e ""principais riscos"" — sem descrever trajeto por ruas nomeadas ligando área de risco a ponto de encontro","alta",""
"Porto Alegre","vermelho","semáforo (verde/vermelho)","N/A","Remoção dos moradores para o ponto de encontro e abrigo; Definição de ponto de encontro e abrigagem; Implementar sistema de ALERTA, nas Áreas de Risco, ... permitindo a mobilização e a remoção dos moradores no caso de risco iminente; Orientação e remoção das pessoas afetadas e em situação de vulnerabilidade, para local seguro como ponto de encontro e abrigo","alta",""
"Portão","verde","semáforo (verde/vermelho)","Rota: Rua da Alegria e Rua das Taquareiras – Os moradores deverão se dirigir para a Rua Julio de Castilhos e posterior ao ponto de encontro no pátio da Escola Santo Antônio.","As rotas de fuga estabelecidas para o Bairro São Luis são: - Rota: Rua da Alegria e Rua das Taquareiras – Os moradores deverão se dirigir para a Rua Julio de Castilhos e posterior ao ponto de encontro no pátio da Escola Santo Antônio.","alta",""
"Pouso Novo","vermelho","semáforo (verde/vermelho)","N/A","""As vias urbanas e vacinais do município que poderão ser comprometidas pelos deslizamentos."" [ref_id:0] ""Quando acionado o plano de contingência... a comunidade e os líderes locais das equipes de primeira resposta devem iniciar as ações de evacuação e de auto salvamento."" [ref_id:0] ""Decretação de situação de emergência/ estado de calamidade pública."" [ref_id:7]","alta",""
"Poço das Antas","verde","semáforo (verde/vermelho)","Encontro da equipe de contingência na Prefeitura Municipal (Av. São Pedro nº 1213, Bairro Centro); transferência de desabrigados para o ginásio municipal de esportes (abrigo) — equipes deslocam‑se aos locais afetados após assembleia na Prefeitura","ponto de encontro da equipe de contingência na Prefeitura Municipal (Av. São Pedro nº 1213, Bairro Centro); após assembleia, as equipes deslocarão‑se aos locais afetados e verificarão a segurança; transferência das pessoas desalojadas para o ginásio municipal de esportes (abrigo)","media",""
"Presidente Lucena","vermelho","semáforo (verde/vermelho)","N/A","O documento lista ""Áreas de Risco do Município"" com locais (ex.: Parte baixa do Centro; Linha Nova Baixa; Nova Vila; Morro do Pedro; Picada Schneider) e descreve ações/abrigos (uso do Ginásio Municipal, disponibilização de veículos, uso de máquinas) mas não contém trajeto de evacuação nomeando ruas ou indicando um percurso até ponto de encontro específico.","alta",""
"Progresso","vermelho","semáforo (verde/vermelho)","N/A","Áreas de Risco do Município: tabela com locais e riscos (ex.: Sede Municipal, Localidade de Apetiri, Localidade de São Luiz) e tabela de vias/ponte(s) interditadas por localidade; não há indicação de trajeto de evacuação por ruas nomeadas ligando área de risco a ponto de encontro.","alta",""
"Putinga","vermelho","semáforo (verde/vermelho)","N/A","Seções do Plano de Contingência listam ""Áreas de Risco"" e eventos adversos e contêm dados cadastrais e objetivos, mas não apresentam trechos que descrevam trajeto de evacuação com ruas nomeadas ligando áreas de risco a ponto de encontro; não há mapa de rotas nem indicação de ruas específicas nas páginas recuperadas.","alta",""
"Quevedos","vermelho","semáforo (verde/vermelho)","N/A","5.3 Resposta: ... evacuação de pré-identificados áreas de risco","alta",""
"Quinze de Novembro","vermelho","semáforo (verde/vermelho)","N/A","Lista De Abrigos ... Endereço: Rua Duque de Caxias. Nº 476,Centro ... Endereço: Rua Carlos Gomes nº 404/Centro ... Abrigo III ... Endereço: Gonçalves Dias","alta",""
"Relvado","vermelho","semáforo (verde/vermelho)","N/A","Lista de Abrigos: Ginásio Municipal de Esportes — Endereço: Rua das Hortensias, 57. Não há descrição de trajetos de evacuação por ruas nomeadas conectando área de risco a ponto de encontro; menções são genéricas (ex.: 'desobstrução de vias', 'pelas vias principais' ou 'áreas a serem definidas').","alta",""
"Restinga Sêca","vermelho","semáforo (verde/vermelho)","N/A","Encosta da sanga da Restinga (Ruas Alexandre Paiva, Obaldo da Rosa, Rui Barbosa, Augusto Rossi, José Celestino Alves, Reinaldo Prade Getúlio Vargas, Henrique Herzer, Alexandre Pasqualini, Borges de Medeiros, Cel. Horácio Borges, Alfredo Rohde, Miguel de Patta (Travessa do Taguá), Afonso Germano Potter, Luis Vieira da Cunha, Teodoro Marquet, José Burmann, Otto Homrich, Domingos Possebon, Paulo Magoga, João Otto Friedrich, Virgílio Carvalho Bernardes, Oswaldo Aranha, Adão Mário de Oliveira Dornelles, Emílio Henrique Nagel, continuação da Rua Ricardo Müller, Paulo Roepke, Santos Dumont, Alberto Pasqualini, Adão Odi Garcia e cont. Av. Júlio de Castilhos)"" e ""5.2 Retirar e encaminhar pessoas a casas de parentes, e se necessário aos abrigos""","alta",""
"Rio Grande","vermelho","semáforo (verde/vermelho)","N/A","Resposta Inicial: Saída em campo das equipes da Defesa Civil, para avaliar as condições de ruas em áreas que já se tem histórico de alagamento (Área Central, Bairro Getúlio Vargas, Salgado Filho, Navegantes, Lar Gaúcho, Zona Leste)"" e ""Anexo 3 - Relação de Abrigos Temporários * locais pré-definidos""","alta",""
"Rio Pardo","vermelho","semáforo (verde/vermelho)","N/A","Não há descrição de trajetos de evacuação com ruas/vias nomeadas ligando áreas de risco a pontos de encontro; o documento lista abrigos com endereços (ex.: ""Ginásio Norberto Ubatubá Figueiró ... Endereço: Rua Mal. Deodoro de Fonseca - Boa Vista, Rio Pardo - RS"") e orientações genéricas sobre controle de trânsito e bloqueios (ex.: ""sinilização de áreas bloqueadas por trânsito... bloquear e sinalizar ruas e acessos""), mas não contém trechos que informem um trajeto específico nomeando ruas até um ponto seguro.","alta",""
"Riozinho","verde","semáforo (verde/vermelho)","Pontos de encontro listados com endereço e coluna ""Descrição da rota de fuga"" indicando rotas de fuga ligando áreas de risco aos pontos: 1) Prefeitura Municipal — Avenida Guerino Pandolfo, nº 580; 2) Pátio da Secretaria de Obras — Rua José Esquinatti, nº 01, Centro; 3) Salão paroquial — Avenida André Brambilla, nº 181; 4) Centro do Idoso de Riozinho — Rua Pascoal Brambilla, nº 835, Centro.","Tabela ""Identificação dos pontos de encontro e rotas de fuga"" listando nome do ponto de encontro, endereço e ""Descrição da rota de fuga"" com os quatro pontos e respectivos endereços.","alta",""
"Roca Sales","vermelho","semáforo (verde/vermelho)","N/A","Não há descrição de trajeto de evacuação específico com ruas nomeadas ligando área de risco a ponto de encontro; o documento traz referências genéricas como ""Evacuação do primeiro piso da Unidade de Saúde Central e Hospital"", ""identificar os locais de abrigos"" e instruções sobre comunicação/alerta, além de listar pontos críticos (ex.: ""Rua 21 de Abril (Lagoa do Delai): 14 metros"") e áreas de risco, mas não descreve rotas nominais de evacuação (rua X até Escola Y).","alta",""
"Rolante","vermelho","semáforo (verde/vermelho)","N/A","O documento lista ""rotas, áreas de evacuação, pontos de encontro, abrigos"" em termos gerais (ex.: ""evacuação/encaminhamento para abrigos como escolas"", ""evacuação zones, escape routes, meeting points"") e fornece listas de abrigos com endereços, mas não descreve trajetos específicos nomeando ruas ligando áreas de risco a pontos de encontro nem apresenta mapa de rotas com ruas identificadas.","alta",""
"Saldanha Marinho","vermelho","semáforo (verde/vermelho)","N/A","Seção 4 — Áreas de Risco do Município — tabela com locais: Esquina Bom Jesus, Campinas, São Lourenço, São Miguel, São Roque, Passo da Felipa, Mato Branco, Santa Tereza (risco: ""Pontes, bueiros, estradas"") e ações listadas como ""Remoção de pessoas de áreas de risco"" e ""Restabelecimento de vias de acesso""; não há descrição de trajetos nominativos ligando áreas de risco a pontos de encontro nem mapa de rotas definido no documento retrieved.","alta",""
"Salto do Jacuí","vermelho","semáforo (verde/vermelho)","N/A","Documento lista ""Áreas de Risco do Município"" com locais/bairros e riscos (ex.: ""Bairros: Portão, CEEE, Cruzeiro, Menino Deus, Centro, Navegantes, Vila Cruz Alta, Harmonia — Risco: granizo e vendaval"") e contém seções de objetivos, acionamento e responsabilidades, mas não descreve trajeto de evacuação com ruas nomeadas nem mapa de rotas.","alta",""
"Salvador do Sul","vermelho","semáforo (verde/vermelho)","N/A","Não há descrição de trajetos de evacuação com ruas nomeadas ligando áreas de risco a pontos de encontro; o documento lista áreas de risco por trechos/ruas e apresenta 'Lista De Abrigos' com endereços (ex.: 'Abrigo I Identificação: Ginásio de esportes Endereço: Parque municipal') e orientações genéricas de ações (ex.: 'Controle do trânsito, pessoas, etc — Brigada Militar'), mas não indica rotas específicas como 'pela Rua X até o ponto de encontro na Escola Y'.","alta",""
"Sananduva","vermelho","semáforo (verde/vermelho)","N/A","Não há no documento descrição de trajeto de evacuação específico com ruas nomeadas ligando área de risco a ponto de encontro; aparecem apenas locais de coordenação/abrigo com endereços (ex.: ""RUA LAGOA VERMELHA Nº25, CENTRO"") e termos genéricos como ""remover pessoas das áreas de risco"" e ""providenciar Abrigos""","alta",""
"Santa Bárbara do Sul","vermelho","semáforo (verde/vermelho)","N/A","""Ponto de Encontro: para os desabrigados/desalojados abrigo 01 (Ginásio Municipal de Esportes Dr. Mário Brum)l para o cenÍo de comando do COMDEC: Prefeitura Municipal."" [ref_id:11]","alta",""
"Santa Cecília do Sul","vermelho","semáforo (verde/vermelho)","N/A","Não há descrição de trajeto de evacuação com ruas nomeadas; o documento lista 'Atividades de Resposta' genéricas, pontos sensíveis, recursos e 'Abrigos' com endereços, sem indicar ruas/vias específicas para um trajeto de evacuação definido.","alta",""
"Santa Clara do Sul","vermelho","semáforo (verde/vermelho)","N/A","O documento lista ruas afetadas e locais (ex.: ""Rua das Begônias; Rua Anadir Terezinha Mantelli; Rua Alberto Schabbach; Rua José Francisco Allgaier; Rua 15 de Novembro; Rua 7 de Setembro; Rua Francisco Alfredo Adams"") e apresenta endereços de abrigos e pontos de comando (ex.: Parque de Máquinas, Av. 28 de Maio, 265), mas não descreve um trajeto de evacuação específico com ruas nomeadas ligando área de risco a um ponto de encontro/abrigo (não há instrução do tipo ""pela Rua X até o ponto de encontro na Escola Y""). [ref_id:3][ref_id:2][ref_id:5]","alta",""
"Santa Cruz do Sul","vermelho","semáforo (verde/vermelho)","N/A","Listagem de ruas/áreas vulneráveis e mapas individuais com acessos (ex.: ""Obs: Acesso pela BR 471 (Trevo com a Rua Ten. O. Jost)"", ""Acesso Principal - BR 471 (Próximo ao Hospitalzinho)."") e ANEXO I com endereços de abrigos, sem indicação de trajeto de evacuação nomeando ruas sequenciais até ponto de encontro seguro.","alta",""
"Santa Maria do Herval","vermelho","semáforo (verde/vermelho)","N/A","Realizar a remoção de pessoas das áreas de risco","alta",""
"Santa Maria","vermelho","semáforo (verde/vermelho)","N/A","""Desenvolver planos de evacuação para áreas de risco, informando a população sobre rotas de evacuação seguras""","alta",""
"Santa Vitória do Palmar","vermelho","semáforo (verde/vermelho)","N/A","Lista de abrigos com endereços (ex.: ""ABRIGO I ... Endereço: Av. Justino Amonte Anacker, nº 351""), menção a procedimentos e 'pelas vias principais' genérico; não há trechos que descrevam trajeto de evacuação com ruas nomeadas ligando área de risco a ponto de encontro.","alta",""
"Santana da Boa Vista","vermelho","semáforo (verde/vermelho)","N/A","Documento contém seção ""Áreas de Risco do Município"" e indicações de ações (alerta, isolamento, organização de abrigos) e uma ""Lista De Abrigos"" com endereços (ex.: ""Abrigo I... Rua Dezessete de Setembro"", ""Abrigo II... Rua Pe. Ramão Fuentemayor"", ""Abrigo III... Rua Aparicio Freitas""), mas não descreve trajeto de evacuação específico nomeando ruas ligando áreas de risco a pontos de encontro nem mapa de rotas definido","alta",""
"Santiago","vermelho","semáforo (verde/vermelho)","N/A","O documento indica repetidamente instruções genéricas como ""Estabelecer rotas de evacuação e locais seguros"" e ""Identificar rotas de evacuação e pontos seguros para triagem e descontaminação"", sem nomear ruas, vias ou traçados específicos conectando áreas de risco a pontos de encontro identificados (ex.: ""Estabelecer rotas de evacuação e locais seguros"" [ref_id:4][ref_id:0]).","alta",""
"Santo Antônio da Patrulha","vermelho","semáforo (verde/vermelho)","N/A","a evacuação das áreas afetadas feita pelas principais ruas e avenidas a serem definidas de acordo com a magnitude do evento adverso.","alta",""
"Santo Antônio do Palma","vermelho","semáforo (verde/vermelho)","N/A","5.3 Evacuação; assistência às vítimas com cadastramento (Secretaria Municipal da Assistência Social) e alojamento em abrigos e casas de parentes.","alta",""
"Santo Antônio do Planalto","vermelho","semáforo (verde/vermelho)","N/A","Não há trecho que descreva trajetos de evacuação específicos com ruas nomeadas; o documento lista ações, responsabilidades, contatos e um abrigo (ginásio) com endereço, e menciona ""liberar/fechar vias"" e ""principalmente pelas vias principais"" de forma genérica, sem indicar percurso como ""pela Rua X até Escola Y"".","alta",""
"Santo Expedito do Sul","vermelho","semáforo (verde/vermelho)","N/A","No documento recuperado não há trechos que listem um trajeto de evacuação com ruas/vias nomeadas ligando área de risco a um ponto de encontro — o plano traz seções sobre objetivos, acionamento, responsabilidades, áreas de risco e lista de anexos/abrigos, mas não descreve rotas específicas nominativas nem mapa de rotas.","alta",""
"Sapiranga","vermelho","semáforo (verde/vermelho)","N/A","Documento apresenta ""Áreas de Risco"" e ""Lista De Abrigos"" com endereços (ex.: Ginásio Municipal de Esporte Nenezão, Santa Helena 210; Centro Municipal de Educação Doutor Décio Gomes Pereira, Rua Presidente Kennedy 2222) e instruções gerais de ações (ex.: ""remover as pessoas afetadas para locais seguros"", ""executar conforme plano de ação""), sem indicação de trajeto definido por ruas nomeadas ligando a área de risco a um ponto de encontro específico.","alta",""
"Sapucaia do Sul","vermelho","semáforo (verde/vermelho)","N/A","""Serão procedidas evacuações ... sendo estabelecida uma rota de fuga."" [ref_id:0]","alta",""
"Segredo","vermelho","semáforo (verde/vermelho)","N/A","Seção ""Áreas de Risco do Município"" lista locais (ex.: Rua dos Imigrantes, Linha Umbu, Serrinha Alta, Linha Turvo e Tamanduá) e seção ""Lista de abrigos"" indica endereço de abrigo (Parque de Eventos Municipal Padre João Pasa), mas não apresenta trajetos de evacuação com ruas/vias nomeadas ligando áreas de risco a ponto de encontro nem mapa de rotas; instruções são genéricas (ex.: ""abrigos"", ""abrir vias principais"", ""limpeza de dutos"") e ações a serem definidas conforme evento.","alta",""
"Selbach","vermelho","semáforo (verde/vermelho)","N/A","Documento lista ações gerais (ex.: ""Retirar e encaminhar as pessoas vulneráveis para abrigos seguros""; ""Retirar e encaminhar as pessoas"") sem indicar ruas, vias nomeadas, trajetos ou ponto de encontro específico.","alta",""
"Sentinela do Sul","vermelho","semáforo (verde/vermelho)","N/A","Não há descrição de trajeto de evacuação com ruas/vias nomeadas ligando área de risco a ponto de encontro; há seção ""7. LISTA DE ABRIGOS"" com endereços de abrigos (Parque Municipal de Eventos — Rua Rui Quadros Machado, Escola Olavo Bilac — Rua Olma Avelino Cézar) e menções genéricas a evacuações/resposta, ações e pontos de apoio, sem indicação de rotas nominativas ou mapa de rotas específico no documento recuperado [ref_id:7][ref_id:4][ref_id:5]","alta",""
"Sertão Santana","vermelho","semáforo (verde/vermelho)","N/A","""ALERTA MÁXIMO. A Defesa Civil de Sertão Santana determina que todos busquem abrigo seguro IMEDIATAMENTE... Moradores de residências vulneráveis (telhado frágil, etc.) devem se dirigir ao Ginásio Estadual de Esportes."" [ref_id:10]","alta",""
"Sertão","vermelho","semáforo (verde/vermelho)","N/A","Documento analisado contém seção de objetivos, acionadores do plano e dados cadastrais, sem indicação de trajetos de evacuação por ruas nomeadas ligando área de risco a ponto de encontro; não há trechos como ""pela Rua X até..."" nem mapas de rotas específicos no conteúdo recuperado.","alta",""
"Severiano de Almeida","vermelho","semáforo (verde/vermelho)","N/A","LISTA DE ABRIGOS ... Endereço: Estrada para linha Antas / Ginásio do Módulo; Endereço: Rua Alberto Sassi, nº42; Endereço: Avenida Getúlio Vargas, nº100; Endereço: Rua Domingo Sponchiado, nº180","alta",""
"Silveira Martins","vermelho","semáforo (verde/vermelho)","N/A","Não há descrição de trajeto de evacuação com ruas nomeadas; o documento contém lista de áreas de risco e lista de abrigos com endereços, e instruções genéricas (ex.: ""Áreas de Risco do Município""; ""Lista De Abrigos – Município"") sem indicar trajetos ou mapas de rotas específicos.","alta",""
"Sobradinho","vermelho","semáforo (verde/vermelho)","N/A","a evacuação das áreas afetadas sempre pelas principais ruas e avenidas a serem definidas de acordo com a magnitude do evento adverso","alta",""
"Soledade","vermelho","semáforo (verde/vermelho)","N/A","Não há descrição de trajeto de evacuação com ruas/vias nomeadas ligando área de risco a um ponto de encontro; o documento traz apenas lista de abrigos com endereços e instruções genéricas sobre evacuação (ex.: ""Evacuação; assistência às vítimas com cadastramento via Secretaria Municipal da Assistência Social e alojamento em abrigos e casas de parentes."") [ref_id:2][ref_id:6]","alta",""
"São Domingos do Sul","vermelho","semáforo (verde/vermelho)","N/A","Não há descrição de trajeto de evacuação com ruas nomeadas; há apenas referência a áreas de risco (ex.: ""Avenida Luiz Benvegnú"") e lista de abrigos com endereços (ex.: ""Ginásio da Sede - Av. Professor Albino Benvegnú""), sem indicar rotas específicas do tipo 'pela Rua X até o ponto de encontro na Escola Y'. [ref_id:0][ref_id:3][ref_id:7][ref_id:4]","alta",""
"São Francisco de Assis","vermelho","semáforo (verde/vermelho)","N/A","Nenhum trecho do documento recuperado descreve um trajeto de evacuação com ruas nomeadas ligando área de risco a ponto de encontro; o documento contém capa e ficha cadastral com eventos adversos mais comuns e contatos municipais.","alta",""
"São Jerônimo","verde","semáforo (verde/vermelho)","Rota de fuga do Bairro Princesa Isabel em direção da BR 401; ROTA DE FUGA DE SÃO JERÔNIMO PARA RS 401: pela RST 470 em direção à BR 290, possibilitando transpor a BR 290 em direção ao interior e também chegar até Arroio dos Ratos para tomar outra direção.","Rota de Fuga do Bairro Princesa Isabel em direção da BR 401; A rota de fuga ... é pela Rst 470 em direção a Br 290 ... concluimos que, em um desastre maior a rota de fuga será essa, pois poderemos transpor a BR 290 em direção ao interior e também podemos chegar até Arroio dos Ratos para tomar outra direção.","alta",""
"São José do Herval","vermelho","semáforo (verde/vermelho)","N/A","O documento lista ""Áreas de Risco"" com ruas/locais afetados (ex.: ""Rua Mathias Feil"", ""Rua Pedro Antonio Nicolau"") e apresenta uma ""LISTA DE ABRIGOS"" com endereços, além de instruções gerais (ex.: ""Retirar e encaminhar pessoas a casas de parentes e, se necessário, aos abrigos"") — não há descrição de trajeto de evacuação específico com ruas nomeadas ligando origem a ponto de encontro nem mapa de rotas detalhado.","alta",""
"São José do Hortêncio","vermelho","semáforo (verde/vermelho)","N/A","A Assessoria de Comunicação Municipal será responsável por elaborar, centralizar e divulgar informações ... rotas de evacuação, pontos de apoio e orientações à população.","alta",""
"São José do Norte","vermelho","semáforo (verde/vermelho)","N/A","Planos de evacuação por bairro; Ativação de abrigos e rotas; Lista de abrigos com endereços (ex.: Rua Fernando Duprat; Rua Evandra Ribeiro da Silva; Av. Presidente Vargas) — sem indicação de trajeto nomeado ligando área de risco a ponto de encontro específico.","alta",""
"São José do Ouro","vermelho","semáforo (verde/vermelho)","N/A","Item 5.3 — ""Evacuação; assistência às vítimas com cadastramento via Secretaria Municipal da Assistência Social e alojamento em abrigos e casas de parentes."" [ref_id:0][ref_id:3]","alta",""
"São José do Sul","vermelho","semáforo (verde/vermelho)","N/A","O documento lista 'Áreas de Risco do Município' e endereços de abrigos (ex.: 'Ginásio Municipal Dom Diogo Baixo, localizado na BR‑470') e descreve ações e procedimentos operacionais, mas não apresenta trajetos de evacuação com ruas/vias nomeadas ligando áreas de risco a ponto de encontro; citações mostram recomendações genéricas e prevenção de risco, não rotas específicas (ex.: tabela '4.3 Áreas de Risco do Município' e formulário 'Abrigo III' com endereço do ginásio).","alta",""
"São João da Urtiga","vermelho","semáforo (verde/vermelho)","N/A","Não há descrito no plano um trajeto de evacuação específico com ruas nomeadas conectando área de risco a ponto de encontro; o documento apresenta apenas ações gerais, atribuições e lista de abrigos (ex.: ""Elaborar planejamento e modificaçôes, tais como rotas, sinalização, etc""; ""Lista de Abrigos: Ginásio Municipal... Endereço: Rua Onedison Caprini"" )","alta",""
